First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/jocuri-cu-pacanele/frog-story-gratis,113,,8,,360,
google / organic,/jocuri-cu-pacanele/gold-dust-gratis,15,,8,,22,
google / organic,/jocuri-cu-pacanele/king-kong-cash-gratis,92,,8,,109,
google / organic,/jocuri-cu-pacanele/magic-27-gratis,38,,8,,50,
google / organic,/jocuri-cu-pacanele/million-coins-respin-gratis,19,,8,,24,
google / organic,/jocuri-cu-pacanele/pacanele-book-of-ra-3,136,,8,,189,
google / organic,/jocuri-cu-pacanele/shining-king-megaways-gratis,99,,8,,179,
google / organic,/jocuri-cu-pacanele/starburst-gratis,45,,8,,50,
google / organic,/jocuri-cu-pacanele/virtual-roulette-gratis,36,,8,,44,
google / organic,/loto-italia,38,,8,,42,
google / organic,/promotii-elite-slots,1,,8,,1,
google / organic,/top-pacanele-cu-stele,143,,8,,199,
qwant.com / organic,(not set),31,,8,,125,
qwant.com / organic,/,16,,8,,20,
bing / organic,/jocuri-cu-pacanele/20-burning-hot-gratis,113,,7,,166,
bing / organic,/jocuri-cu-pacanele/pacanele-ca-la-aparate-lucky-lady-charm-deluxe,183,,7,,542,
bing / organic,/jocuri/ruleta-online,120,,7,,344,
bing / organic,/oferte-halloween-2025-mail,4,,7,,7,
google / organic,/articole/bonus-fara-depunere/page/2,17,,7,,20,
google / organic,/betmen-casino-pareri,9,,7,,10,
google / organic,/bonus-fara-depunere-bilion-casino,50,,7,,55,
google / organic,/cele-mai-bune-glume-la-pacanele,84,,7,,97,
google / organic,/conti-casino-155-rotiri-gratuite,12,,7,,14,
google / organic,/jocuri-cu-pacanele/10-vampire-bites-gratis,133,,7,,164,
google / organic,/jocuri-cu-pacanele/20-extra-crown-gratis,120,,7,,165,
google / organic,/jocuri-cu-pacanele/3-fruits-win-gratis,98,,7,,117,
google / organic,/jocuri-cu-pacanele/5-juggle-fruits-gratis,335,,7,,601,
google / organic,/jocuri-cu-pacanele/50-fortune-fruits-gratis,112,,7,,131,
google / organic,/jocuri-cu-pacanele/50-hot-blast-clover-chance-gratis,76,,7,,127,
google / organic,/jocuri-cu-pacanele/baccarat-punto-banco-gratis,132,,7,,152,
google / organic,/jocuri-cu-pacanele/batman-gratis,22,,7,,43,
google / organic,/jocuri-cu-pacanele/dice-high-gratis,73,,7,,99,
google / organic,/jocuri-cu-pacanele/extra-crown-classic-gratis,80,,7,,104,
google / organic,/jocuri-cu-pacanele/extremely-hot-gratis,247,,7,,989,
google / organic,/jocuri-cu-pacanele/miami-bici-gratis,100,,7,,112,
google / organic,/jocuri-cu-pacanele/napoleon-rise-of-an-empire-gratis,21,,7,,25,
google / organic,/jocuri-cu-pacanele/super-20-gratis,43,,7,,58,
google / organic,/jocuri-cu-pacanele/the-great-chicken-escape-gratis,24,,7,,29,
google / organic,/jocuri-cu-pacanele/the-story-of-alexander-gratis,216,,7,,284,
google / organic,/jocuri-cu-pacanele/tome-of-madness-gratis,159,,7,,299,
google / organic,/jocuri/pacanele-clasice/page/2,29,,7,,33,
google / organic,/jocuri/pacanele-rtp-mare,132,,7,,229,
google / organic,/oferte-halloween-2025-organic,4,,7,,5,
google / organic,/pacanele-online-cu-cardul,15,,7,,18,
google / organic,/promotii-hotspins,11,,7,,11,
google / organic,/recenzie/don-casino,7,,7,,9,
google / organic,/recenzie/superbet-casino,18,,7,,18,
google / organic,/termeni-si-conditii,149,,7,,264,
google / organic,/video,44,,7,,54,
google / organic,/vlad-cazino-bonus-de-bun-venit,16,,7,,19,
qwant.com / organic,/jocuri-cu-pacanele/pacanele-cu-77777-fruit-cocktail,4,,7,,40,
yahoo / organic,/rotiri-gratuite,6,,7,,6,
bing / organic,/jocuri-cu-pacanele/100-super-hot-gratis,136,,6,,236,
